City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Atar,MR,20.5169,-13.0499,96.75,11,51,8.72,broken clouds
233,Laguna,US,38.421,-121.4238,53.01,82,1,4.61,clear sky
234,Deniliquin,AU,-35.5333,144.9667,46.0,80,1,9.06,clear sky
235,Dehloran,IR,32.6941,47.2679,82.06,31,95,10.27,overcast clouds
236,Junin,AR,-34.5838,-60.9433,68.0,22,32,10.0,scattered clouds
237,El Dorado,US,38.7666,-120.5177,55.99,28,1,8.05,clear sky
238,Luderitz,NA,-26.6481,15.1594,79.47,46,1,5.59,clear sky
239,Hohhot,CN,40.8106,111.6522,48.2,87,20,4.47,few clouds
240,Padre Bernardo,BR,-15.35,-48.5,81.43,47,0,4.79,clear sky
241,Trincomalee,LK,8.5711,81.2335,82.92,73,24,10.09,light rain
242,Hamilton,US,39.1834,-84.5333,53.01,76,90,14.97,overcast clouds
243,Saint-Francois,FR,46.4154,3.9054,48.2,87,75,12.66,moderate rain
244,Mogadishu,SO,2.0371,45.3438,86.0,54,100,11.5,overcast clouds
245,Laje,BR,-10.1833,-40.9667,87.51,35,67,11.03,broken clouds
246,Korla,CN,41.7597,86.1469,62.28,30,0,3.04,clear sky
247,Tezu,IN,27.9167,96.1667,76.86,42,96,4.79,overcast clouds
248,Ayan,RU,56.45,138.1667,15.39,69,100,11.12,overcast clouds
249,Talalayivka,UA,50.9578,31.9209,55.94,43,0,7.07,clear sky
250,Mayya,RU,61.7333,130.2811,19.4,79,75,11.18,light snow
251,Biltine,TD,14.5333,20.9167,99.61,5,7,13.38,clear sky
252,Capreol,CA,46.706,-80.9225,64.0,58,90,9.22,overcast clouds
253,Mattru,SL,7.6244,-11.8332,88.88,59,85,7.7,light rain
254,North Bend,US,43.4065,-124.2243,39.2,75,1,6.91,clear sky
255,Kawalu,ID,-7.3817,108.2082,73.72,96,97,1.05,heavy intensity rain
256,Vicosa,BR,-20.7539,-42.8819,76.77,51,0,4.34,clear sky
257,Rocha,UY,-34.4833,-54.3333,65.52,81,87,29.1,overcast clouds
258,Bedesa,ET,8.9,40.7833,70.65,60,100,4.41,overcast clouds
259,Takoradi,GH,4.8845,-1.7554,86.25,68,81,15.12,broken clouds
260,Manavalakurichi,IN,8.1333,77.3,80.6,89,75,3.44,mist
261,Raudeberg,NO,61.9875,5.1352,41.0,75,12,16.42,few clouds
262,Port Hardy,CA,50.6996,-127.4199,41.0,86,20,10.36,few clouds
263,Zhangjiakou,CN,40.81,114.8794,52.41,51,99,4.34,overcast clouds
264,Homer,US,59.6425,-151.5483,30.2,69,90,6.91,overcast clouds
265,Xichang,CN,27.8964,102.2634,60.19,61,34,5.3,scattered clouds
266,Te Anau,NZ,-45.4167,167.7167,48.31,93,13,1.34,few clouds
267,Luba,GQ,3.4568,8.5547,84.2,79,40,8.05,scattered clouds
268,Lima,PE,-12.0432,-77.0282,75.0,73,0,5.75,clear sky
269,Mildura,AU,-34.2,142.15,48.2,57,0,5.75,clear sky
270,Jalpan,MX,21.2333,-99.4833,84.65,39,5,1.97,clear sky
271,Mitchell,US,43.7094,-98.0298,48.2,61,1,3.44,clear sky
272,Chegdomyn,RU,51.1167,133.0167,26.33,56,100,5.84,overcast clouds
273,Adrar,MR,20.5022,-10.0711,94.71,11,8,8.37,clear sky
274,Xining,CN,36.6167,101.7667,47.64,32,13,5.12,few clouds
275,Mayo,US,38.8876,-76.5119,71.6,64,20,12.66,few clouds
276,Kutum,SD,14.2,24.6667,87.39,8,9,12.97,clear sky
277,Newport,GB,51.5877,-2.9984,48.0,70,86,10.36,overcast clouds
